file_name	source_link	see also	notes	not downloaded	caused_bug	truncated_data	rle_compression	loads_in_sas
rice.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/rice.sas7bdat							
saheart.sas7bdat	http://www.richardcharnigo.net/CPH636S09/saheart.sas7bdat							
sas_data_haven_728.sas7bdat	https://github.com/tidyverse/haven/issues/728				Y			
savings.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/savings.sas7bdat							
share.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/share.sas7bdat							
sirmans.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/sirmans.sas7bdat							
sp.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/sp.sas7bdat							
spm_pu_2018.sas7bdat	https://www2.census.gov/programs-surveys/supplemental-poverty-measure/datasets/spm/spm_pu_2018.sas7bdat	https://github.com/pandas-dev/pandas/issues/16615		Y	Y			
spurious.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/spurious.sas7bdat							
star.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/star.sas7bdat							
sterling.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/sterling.sas7bdat							
stockton.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/stockton.sas7bdat							
stockton2.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/stockton2.sas7bdat							
stockton3.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/stockton3.sas7bdat							
stockton4.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/stockton4.sas7bdat							
stockton96.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/stockton96.sas7bdat							
stress.sas7bdat	http://wps.ablongman.com/wps/media/objects/1108/1135330/stress.sas7bdat							
table_c3.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/table_c3.sas7bdat							
table_c4.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/table_c4.sas7bdat							
table2_2.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/table2_2.sas7bdat							
term.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/term.sas7bdat							
test_12659.sas7bdat	https://github.com/pandas-dev/pandas/blob/main/pandas/tests/io/sas/data/							
test_meta2_page.sas7bdat	https://github.com/pandas-dev/pandas/blob/main/pandas/tests/io/sas/data/							
test1.sas7bdat	https://github.com/pandas-dev/pandas/blob/main/pandas/tests/io/sas/data/							
test10.sas7bdat	https://github.com/pandas-dev/pandas/blob/main/pandas/tests/io/sas/data/							
test11.sas7bdat	https://github.com/pandas-dev/pandas/blob/main/pandas/tests/io/sas/data/							
test12.sas7bdat	https://github.com/pandas-dev/pandas/blob/main/pandas/tests/io/sas/data/							
test13.sas7bdat	https://github.com/pandas-dev/pandas/blob/main/pandas/tests/io/sas/data/							
test14.sas7bdat	https://github.com/pandas-dev/pandas/blob/main/pandas/tests/io/sas/data/							
test15.sas7bdat	https://github.com/pandas-dev/pandas/blob/main/pandas/tests/io/sas/data/							
test16.sas7bdat	https://github.com/pandas-dev/pandas/blob/main/pandas/tests/io/sas/data/							
test2.sas7bdat	https://github.com/pandas-dev/pandas/blob/main/pandas/tests/io/sas/data/							
test3.sas7bdat	https://github.com/pandas-dev/pandas/blob/main/pandas/tests/io/sas/data/							
test4.sas7bdat	https://github.com/pandas-dev/pandas/blob/main/pandas/tests/io/sas/data/							
test5.sas7bdat	https://github.com/pandas-dev/pandas/blob/main/pandas/tests/io/sas/data/							
test6.sas7bdat	https://github.com/pandas-dev/pandas/blob/main/pandas/tests/io/sas/data/							
test7.sas7bdat	https://github.com/pandas-dev/pandas/blob/main/pandas/tests/io/sas/data/							
test8.sas7bdat	https://github.com/pandas-dev/pandas/blob/main/pandas/tests/io/sas/data/							
test9.sas7bdat	https://github.com/pandas-dev/pandas/blob/main/pandas/tests/io/sas/data/							
texas.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/texas.sas7bdat							
timesimple_parso.sas7bdat	https://github.com/epam/parso/issues/89				Y			
tiny.sas7bdat	https://github.com/reikoch/testfiles/blob/master/							
tiny0.sas7bdat	https://github.com/reikoch/testfiles/blob/master/							
tiny2.sas7bdat	https://github.com/reikoch/testfiles/blob/master/							
tinycopy.sas7bdat	https://github.com/reikoch/testfiles/blob/master/							
tobit.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/tobit.sas7bdat							
tobitmc.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/tobitmc.sas7bdat							
toodyay.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/toodyay.sas7bdat							
transport.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/transport.sas7bdat							
truffles.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/truffles.sas7bdat							
tuna.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/tuna.sas7bdat							
tunafish_small.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/tunafish_small.sas7bdat							
tunafish.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/tunafish.sas7bdat							
uk.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/uk.sas7bdat							
ukpi.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/ukpi.sas7bdat							
uniform1.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/uniform1.sas7bdat							
uniform2.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/uniform2.sas7bdat							
uniform3.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/uniform3.sas7bdat							
unit.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/unit.sas7bdat							
usa.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/usa.sas7bdat							
utown.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/utown.sas7bdat							
vacation.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/vacation.sas7bdat							
var.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/var.sas7bdat							
vec.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/vec.sas7bdat							
wa_wheat.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/wa_wheat.sas7bdat							
warner.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/warner.sas7bdat							
xfrance.sas7bdat	http://datavis.ca/gallery/guerry/maps/xfrance.sas7bdat							
xfrance2.sas7bdat	http://datavis.ca/gallery/guerry/maps/xfrance2.sas7bdat							
xoutline.sas7bdat	http://datavis.ca/gallery/guerry/maps/xoutline.sas7bdat							
xpttest.sas7bdat	https://github.com/reikoch/testfiles/blob/master/							
yrbscol.sas7bdat	http://www.cdc.gov/HealthyYouth/yrbs/data/college/yrbscol.sas7bdat							
zero_observations.sas7bdat	https://github.com/tidyverse/haven/issues/627				Y			
zero_rows.sas7bdat	https://github.com/pandas-dev/pandas/blob/main/pandas/tests/io/sas/data/							
zero_variables.sas7bdat	https://github.com/pandas-dev/pandas/blob/main/pandas/tests/io/sas/data/							
datetime_deleted_rows.sas7bdat	https://github.com/troels/pandas/blob/fcb169919b93b95e22630a23817dbcf24e0e7cda/pandas/tests/io/sas/data/datetime_deleted_rows.sas7bdat	https://github.com/pandas-dev/pandas/pull/22650	deleted rows issue		Y			
deleted_rows.sas7bdat	https://github.com/troels/pandas/blob/fcb169919b93b95e22630a23817dbcf24e0e7cda/pandas/tests/io/sas/data/deleted_rows.sas7bdat	https://github.com/pandas-dev/pandas/pull/22650	deleted rows issue		Y			
numeric_1000000_2.sas7bdat	https://github.com/tk3369/SASLib.jl/tree/master/test/data_misc/numeric_1000000_2.sas7bdat	https://github.com/tk3369/SASLib.jl/blob/master/test/perf_results_0.5.0/py_jl_numeric_1000000_2_100.md			N			
